,100 Bytes,500 Bytes,1000 Bytes,2000 Bytes,3000 Bytes,4000 Bytes,5000 Bytes,6000 Bytes,7000 Bytes
82,5.719,6.883,6.986,6.223,6.275,9.268,8.917,9.644,9.984
83,5.741,6.89,6.954,7.175,6.539,9.322,9.714,9.688,9.941
84,6.823,6.864,6.934,7.136,7.581,8.323,9.342,9.486,9.028
85,6.775,5.958,5.881,7.159,7.596,8.577,8.666,8.515,8.963
86,6.776,5.853,5.938,6.234,6.533,8.557,8.754,8.61,9.99
87,5.733,6.862,6.984,6.23,6.257,9.223,8.709,9.652,9.961
88,5.768,6.827,7.208,7.211,6.299,9.559,9.341,9.479,8.829
89,6.825,6.862,6.972,7.18,7.632,10.607,10.571,8.484,8.258
90,7.394,5.946,6.008,7.169,7.593,8.253,8.712,8.236,9.02
91,6.788,5.922,5.957,6.142,6.267,8.532,8.566,9.247,10.041
92,5.776,7.508,7.689,6.219,6.567,9.259,9.273,9.17,9.916
93,5.753,6.826,7.172,6.195,6.622,9.316,9.174,9.255,9.034
94,6.76,6.855,7.064,7.232,7.64,8.211,9.269,8.214,8.994
95,6.768,5.89,6.025,7.296,7.613,8.346,8.353,8.188,9.025
96,6.773,5.972,6.043,6.229,8.619,10.006,8.405,9.188,10.276
97,5.763,5.93,7.309,6.224,6.465,9.325,9.396,9.278,10.101
98,5.746,6.884,7.086,6.162,6.519,8.286,9.321,9.204,9.34
99,5.823,6.91,6.042,7.258,7.569,8.285,9.664,8.287,9.339
100,6.793,5.848,6.027,7.219,7.614,9.298,8.571,9.296,10.418
101,6.778,5.806,6.002,6.25,7.602,9.301,8.566,9.202,10.43
102,5.754,5.849,5.986,6.196,6.505,9.334,9.647,8.192,8.927
103,5.799,6.837,6.923,6.258,6.492,8.315,9.148,8.224,8.97
104,5.791,6.923,6.999,7.226,7.595,8.078,8.275,8.235,10.133
105,6.757,5.952,5.99,7.263,7.603,9.25,9.294,9.182,10.003
106,6.782,5.893,5.975,6.265,7.617,9.367,9.276,9.247,10.476
107,5.759,5.87,5.999,6.164,6.533,8.577,9.262,8.314,8.947
108,5.744,6.802,7.046,6.158,6.23,8.067,8.299,8.532,8.828
109,5.796,6.634,6.963,6.846,7.468,8.226,8.279,8.637,10.494
110,6.804,5.891,5.967,7.158,7.526,9.262,8.65,9.52,10.039
111,6.766,5.849,5.986,6.245,7.629,9.263,9.266,9.534,10.281
112,5.753,5.869,6.018,6.229,6.528,8.543,9.627,8.653,9.225
113,5.789,6.885,7.037,6.28,6.267,8.537,8.667,8.636,10.179
114,5.73,6.789,7.077,7.252,7.303,8.32,8.682,8.636,10.181
115,6.72,5.943,6.003,7.179,7.265,9.206,8.646,9.729,10.148
116,6.757,6.006,6.0,7.21,7.267,8.252,9.538,9.258,9.244
117,6.81,5.858,6.0,6.268,6.221,8.299,9.65,9.524,10.538
118,5.767,6.923,7.168,6.167,6.3,8.236,8.698,8.242,10.603
119,5.809,7.001,7.073,7.232,6.243,9.559,8.677,9.543,9.286
120,7.262,6.948,6.02,7.331,7.246,9.166,8.65,9.601,9.304
121,6.784,5.852,5.978,7.286,7.25,8.079,9.27,9.519,9.309
122,6.775,5.889,6.052,6.24,6.233,8.056,9.302,8.497,10.298
123,5.805,6.909,7.047,6.227,6.264,8.18,8.225,9.682,9.166
124,5.767,6.846,7.025,7.232,6.239,9.484,8.043,9.531,9.142
125,6.757,6.911,7.196,7.223,7.236,9.294,8.238,9.528,9.091
126,6.786,5.799,5.864,7.238,7.458,8.262,9.565,8.613,10.008
127,6.773,5.8,5.902,6.264,6.523,8.131,8.371,8.505,10.107
128,5.747,6.791,7.029,6.382,6.515,8.141,8.671,9.668,9.052
129,5.757,6.877,6.943,7.347,6.476,9.036,8.557,9.666,8.929
130,6.673,6.842,6.966,7.27,7.494,9.062,9.278,9.598,8.969
131,6.683,5.814,5.925,7.198,7.306,9.261,9.613,8.613,10.021
132,6.7,5.885,5.928,6.236,6.237,8.277,8.615,8.531,10.001
133,5.67,6.858,6.827,6.169,6.211,8.238,8.546,9.303,8.864
134,5.671,6.858,6.9,7.121,6.256,9.392,9.524,9.594,8.804
135,6.716,6.855,6.917,7.18,7.278,9.166,9.628,19.654,8.879
136,6.728,5.85,5.92,7.181,7.569,9.125,9.628,8.659,10.048
137,6.727,5.887,6.107,6.218,6.477,8.116,8.671,8.5,9.841
138,5.721,6.879,7.268,6.611,6.248,7.964,8.578,8.636,10.87
139,5.786,6.874,7.221,6.63,6.473,9.044,9.174,9.269,8.856
140,5.707,6.835,7.637,7.288,7.593,9.053,9.153,8.337,8.966
141,6.66,5.859,6.052,7.501,7.585,9.096,9.131,8.638,10.492
142,6.696,5.855,6.251,6.253,7.48,8.191,8.276,8.266,9.984
143,5.765,5.813,7.471,6.219,6.567,9.074,8.305,9.531,9.094
144,5.789,6.882,7.232,6.216,6.52,9.08,9.293,9.738,8.899
145,5.762,7.039,7.112,7.494,7.596,9.175,9.262,8.285,10.471
146,6.753,5.925,5.802,7.316,7.615,7.916,9.618,8.519,10.271
147,6.742,5.914,5.963,6.248,7.499,8.916,8.545,8.633,10.56
148,5.705,5.918,5.986,6.235,6.22,8.928,8.241,9.69,8.993
149,5.701,6.944,7.055,6.224,6.712,9.17,9.269,8.514,8.988
150,5.755,6.867,7.124,7.269,7.374,8.275,9.814,8.489,10.068
151,6.703,5.86,5.999,7.239,7.376,8.038,9.602,8.281,10.032
152,6.659,5.832,6.258,6.231,7.587,8.235,8.288,9.548,8.872
153,5.649,5.886,6.015,6.226,6.651,9.265,8.226,9.062,9.988
154,5.615,6.86,7.197,6.259,6.684,9.293,8.252,10.516,8.845
155,5.684,6.859,6.953,7.185,7.601,8.525,9.139,8.235,8.854
156,6.689,5.811,5.894,7.245,7.481,8.643,9.26,8.155,8.973
157,6.649,5.868,5.945,7.171,7.256,8.652,8.391,9.18,10.012
158,7.654,5.869,6.016,6.148,6.158,9.643,8.677,9.155,9.876
159,5.608,6.914,6.964,6.237,6.22,9.609,8.654,8.157,8.821
160,5.663,6.869,6.976,7.151,7.234,8.472,9.567,8.156,8.943
161,6.671,6.855,5.934,7.162,7.252,8.265,9.288,9.392,9.037
162,6.688,5.818,5.987,7.174,7.221,8.08,8.246,9.25,10.202
163,6.705,5.851,6.037,6.203,6.208,9.306,8.256,8.21,10.075
164,5.699,6.881,7.068,6.21,6.19,9.272,8.19,9.243,8.968
165,5.744,6.955,7.048,7.212,6.216,8.327,9.171,9.305,8.929
166,6.732,6.909,7.017,7.272,7.225,8.211,9.182,9.314,9.058
167,6.744,5.945,6.04,7.287,7.158,8.029,8.238,8.501,10.151
168,6.706,5.919,6.031,6.326,6.205,9.159,8.172,8.692,10.245
169,5.728,6.99,7.092,7.299,6.481,9.102,9.159,9.519,8.909
170,5.73,6.96,7.15,7.256,6.24,9.269,9.144,9.938,8.973
171,6.765,6.922,6.969,7.488,7.539,8.993,9.185,9.683,9.01
172,6.778,5.857,5.932,6.186,7.266,9.215,8.128,8.631,9.919
173,6.783,5.917,5.886,6.225,6.238,9.252,8.213,8.258,9.869
174,5.77,6.841,6.884,7.201,6.528,9.264,9.578,9.276,8.814
175,5.747,6.946,6.832,7.163,6.838,8.34,9.599,9.288,8.899
176,6.779,6.936,6.865,7.147,7.626,9.269,8.704,8.272,9.062
177,6.767,5.896,6.868,6.113,7.577,9.209,8.58,8.654,10.055
178,6.724,5.877,5.895,6.183,6.619,9.294,9.668,9.718,10.072
179,5.813,6.928,6.785,6.156,6.516,8.254,9.55,9.56,9.073
180,5.786,6.881,6.909,7.149,6.552,8.601,9.276,8.645,8.967
181,5.775,6.832,6.837,7.128,7.481,9.335,8.043,8.234,10.547
182,6.773,5.842,5.87,6.138,7.611,9.192,9.151,9.222,10.539
183,6.816,5.837,5.87,6.144,7.581,9.281,9.188,9.169,9.023
184,5.757,5.807,7.694,6.155,6.536,8.552,9.105,8.118,8.979
185,5.743,6.855,7.234,7.149,6.48,8.336,8.035,8.192,9.981
186,5.723,6.824,7.308,7.162,7.62,9.558,8.127,8.059,10.106
187,6.722,5.842,5.948,6.224,7.557,9.601,9.125,9.121,9.253
188,6.692,5.813,5.972,6.183,7.627,9.257,9.069,9.172,8.984
189,5.926,5.932,5.916,6.246,6.519,8.279,9.068,8.196,10.181
190,5.768,6.889,7.013,7.507,6.495,8.129,8.158,8.167,10.029
191,5.801,6.898,7.029,7.502,7.26,8.198,8.24,8.107,10.217
192,6.778,5.882,5.975,6.262,7.194,9.302,8.281,9.203,8.922
193,6.78,5.941,5.581,6.254,7.569,9.402,9.269,9.169,9.0
194,5.779,5.94,5.954,6.159,6.299,8.128,8.257,8.185,9.892
195,5.74,6.871,7.123,7.245,6.283,8.108,8.611,8.18,10.089
196,5.693,6.874,7.028,7.226,7.635,9.271,8.638,9.541,10.775
197,6.702,5.855,5.96,8.159,7.705,9.08,9.619,9.338,9.02
198,6.739,5.927,6.17,6.086,7.471,7.977,9.221,9.346,9.023
199,5.811,5.899,7.191,6.152,6.487,7.879,8.29,8.344,8.984
200,5.76,6.817,7.107,7.129,6.447,8.873,8.631,8.34,10.109
201,5.764,6.805,7.082,7.175,7.628,8.872,8.547,9.335,9.075
202,6.745,7.882,6.126,7.203,7.507,7.861,9.673,9.327,9.077
203,6.801,5.809,6.021,6.226,7.464,7.799,9.683,9.429,9.98
204,6.782,5.861,5.904,6.226,6.518,7.862,8.631,8.572,9.949
205,5.761,6.988,6.977,7.181,7.597,8.87,8.671,8.3,8.964
206,5.767,6.923,6.981,7.21,6.291,8.877,8.61,9.325,9.039
207,6.738,6.906,8.185,7.203,7.617,9.839,9.365,9.285,8.972
208,6.709,5.831,5.965,6.197,7.607,7.799,9.666,9.151,9.857
209,6.685,5.838,5.838,6.246,6.558,7.848,10.565,8.15,9.85
210,5.731,6.899,7.063,7.238,6.564,8.871,8.661,8.12,9.016
211,5.717,6.856,7.011,7.322,6.529,8.862,9.305,9.162,9.136
212,7.261,6.832,7.284,7.169,7.567,8.832,9.309,9.205,9.171
213,6.703,5.887,6.059,6.215,7.605,7.948,8.596,9.194,10.837
214,6.722,5.812,5.202,6.287,6.306,9.064,8.651,8.205,10.538
215,5.714,7.476,7.108,7.275,6.288,8.982,9.679,8.284,8.967
216,5.747,6.867,7.004,7.229,6.238,7.927,9.29,9.291,9.046
217,6.779,6.892,7.025,7.273,7.247,7.981,8.219,8.762,10.186
218,6.763,5.92,5.947,6.259,7.529,9.262,8.214,8.741,10.03
219,8.975,5.924,5.76,6.247,6.862,9.297,9.672,9.663,10.049
220,5.742,6.932,7.01,6.242,6.633,8.241,9.638,9.754,9.024
221,5.711,6.948,6.967,7.296,6.511,8.278,8.267,8.335,10.064
